Taxonomy,Taxon_ID,target.gene,BRC.ID,Superclass,Class,Subclass,Gene_Name,EC.number,Accession,Alt.Locus.Tag,Feature.ID,Feature.Type,Start,End,Length.1,Strand.x,FIGfam.ID,PATRIC.genus.specific.families..PLfams.,PATRIC.cross.genus.families..PGfams.,Protein.ID,AA.Length,Patric_Product,GO
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2564,fig|83332.111.peg.2866,Membrane Transport,Membrane Transport,ABC transporters,glnQ,,CP003248,VBIMycTub226894_2866,PATRIC.83332.111.CP003248.CDS.2883352.2884344.fwd,CDS,2883352,2884344,993,+,FIG01322929,PLF_1763_00002854,PGF_10425579,AFN50534.1,330,"ABC transporter, ATP-binding protein",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0073,fig|83332.111.peg.85,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_0085,PATRIC.83332.111.CP003248.CDS.81673.82665.fwd,CDS,81673,82665,993,+,FIG00825489,PLF_1763_00084214,PGF_10425579,AFN47917.1,330,"ABC transporter, ATP-binding protein",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3041c,fig|83332.111.peg.3388,Membrane Transport,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_3388,PATRIC.83332.111.CP003248.CDS.3401066.3401929.rev,CDS,3401066,3401929,864,-,FIG01956052,PLF_1763_00000685,PGF_10425579,AFN51030.1,287,"ABC transporter, ATP-binding protein",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3360,fig|83332.111.peg.3749,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_3749,PATRIC.83332.111.CP003248.CDS.3772933.3773190.fwd,CDS,3772933,3773190,258,+,FIG01956052,PLF_1763_00002772,PGF_03093784,AFN51371.1,85,"ABC transporter, ATP-binding protein",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3758c,fig|83332.111.peg.4180,Membrane Transport,Membrane Transport,ABC transporters,proV,,CP003248,VBIMycTub226894_4180,PATRIC.83332.111.CP003248.CDS.4203465.4204646.rev,CDS,4203465,4204646,1182,-,FIG00008556,PLF_1763_00001509,PGF_06784466,AFN51782.1,393,"ABC transporter, ATP-binding protein (cluster 13, osmolytes)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1238,fig|83332.111.peg.1383,Membrane Transport,Membrane Transport,ABC transporters,sugC,7.5.2.-,CP003248,VBIMycTub226894_1383,PATRIC.83332.111.CP003248.CDS.1380690.1381871.fwd,CDS,1380690,1381871,1182,+,FIG01955932,PLF_1763_00050060,PGF_12728364,AFN49142.1,393,"ABC transporter, ATP-binding protein (cluster 13, osmolytes)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0265c,fig|83332.111.peg.297,Membrane Transport,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_0297,PATRIC.83332.111.CP003248.CDS.316511.317473.rev,CDS,316511,317473,963,-,FIG01312725,PLF_1763_00334510,PGF_00004546,AFN48118.1,320,"ABC transporter, periplasmic iron-transport lipoprotein",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3757c,fig|83332.111.peg.4179,Membrane Transport,Membrane Transport,ABC transporters,proW,,CP003248,VBIMycTub226894_4179,PATRIC.83332.111.CP003248.CDS.4202788.4203477.rev,CDS,4202788,4203477,690,-,FIG00005559,PLF_1763_00002386,PGF_00925719,AFN51781.1,229,"ABC transporter, permease protein (cluster 13, osmolytes)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3756c,fig|83332.111.peg.4178,Membrane Transport,Membrane Transport,ABC transporters,proZ,,CP003248,VBIMycTub226894_4178,PATRIC.83332.111.CP003248.CDS.4202072.4202791.rev,CDS,4202072,4202791,720,-,FIG01954415,PLF_1763_00001307,PGF_00925719,AFN51780.1,239,"ABC transporter, permease protein (cluster 13, osmolytes)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2316,fig|83332.111.peg.2580,Membrane Transport,Membrane Transport,ABC transporters,uspA,,CP003248,VBIMycTub226894_2580,PATRIC.83332.111.CP003248.CDS.2588848.2589720.fwd,CDS,2588848,2589720,873,+,FIG00007586,PLF_1763_00006755,PGF_02876233,AFN50278.1,290,"ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2317,fig|83332.111.peg.2581,Membrane Transport,Membrane Transport,ABC transporters,uspB,,CP003248,VBIMycTub226894_2581,PATRIC.83332.111.CP003248.CDS.2589749.2590531.fwd,CDS,2589749,2590531,783,+,FIG00501923,PLF_1763_00002264,PGF_10552060,AFN50279.1,260,"ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2318,fig|83332.111.peg.2582,Membrane Transport,Membrane Transport,ABC transporters,uspC,,CP003248,VBIMycTub226894_2582,PATRIC.83332.111.CP003248.CDS.2590528.2591850.fwd,CDS,2590528,2591850,1323,+,FIG01316674,PLF_1763_00129002,PGF_07870324,AFN50280.1,440,"ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1680,fig|83332.111.peg.1867,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1867,PATRIC.83332.111.CP003248.CDS.1904436.1905260.fwd,CDS,1904436,1905260,825,+,FIG00014764,PLF_1763_00002983,PGF_06414735,AFN49601.1,274,"ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1244,fig|83332.111.peg.1389,Membrane Transport,Membrane Transport,ABC transporters,lpqZ,,CP003248,VBIMycTub226894_1389,PATRIC.83332.111.CP003248.CDS.1386740.1387723.fwd,CDS,1386740,1387723,984,+,FIG00862992,PLF_1763_00369000,PGF_06513264,AFN49148.1,327,"ABC transporter, substrate-binding protein (cluster 13, osmolytes)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3759c,fig|83332.111.peg.4181,Membrane Transport,Membrane Transport,ABC transporters,proX,,CP003248,VBIMycTub226894_4181,PATRIC.83332.111.CP003248.CDS.4204604.4205551.rev,CDS,4204604,4205551,948,-,FIG00002823,PLF_1763_00002041,PGF_06513264,AFN51783.1,315,"ABC transporter, substrate-binding protein (cluster 13, osmolytes)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1166,fig|83332.111.peg.1307,Membrane Transport,Membrane Transport,ABC transporters,lpqW,,CP003248,VBIMycTub226894_1307,PATRIC.83332.111.CP003248.CDS.1296157.1298064.fwd,CDS,1296157,1298064,1908,+,FIG00544125,PLF_1763_00019244,PGF_02405674,AFN49070.1,635,"ABC transporter, substrate-binding protein LpqW",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3197,fig|83332.111.peg.3566,Membrane Transport,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_3566,PATRIC.83332.111.CP003248.CDS.3567036.3568364.fwd,CDS,3567036,3568364,1329,+,FIG00000320,PLF_1763_00001603,PGF_08057315,AFN51194.1,442,ABC1 family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0072,fig|83332.111.peg.84,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_0084,PATRIC.83332.111.CP003248.CDS.80621.81670.fwd,CDS,80621,81670,1050,+,FIG01409078,PLF_1763_00004090,PGF_00004951,AFN47916.1,349,"ABC-type antimicrobial peptide transport system, permease component",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2563,fig|83332.111.peg.2865,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_2865,PATRIC.83332.111.CP003248.CDS.2882300.2883349.fwd,CDS,2882300,2883349,1050,+,FIG01409078,PLF_1763_00002838,PGF_00004951,AFN50533.1,349,"ABC-type antimicrobial peptide transport system, permease component",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1687c,fig|83332.111.peg.1874,,Membrane Transport,ABC transporters,,,CP003248,VBIMycTub226894_1874,PATRIC.83332.111.CP003248.CDS.1912160.1912927.rev,CDS,1912160,1912927,768,-,FIG01956052,PLF_1763_00002839,PGF_00008621,AFN49608.1,255,ABC-type multidrug transport system ATP-binding component yhiH,
